compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,ael_shear_modulus_hrv,ael_bulk_modulus_hrv
Ni1Sb1Tb1,aflow:14a7482f5c050e0e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ni1Sb1Tb1_ICSD_44951,216,cF12,54.1136,92.2333
Ni1Sb1Ti1,aflow:2c598227e453c68b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ni1Sb1Ti1_ICSD_182482,216,cF12,56.2125,126.456
Ni1Sb1Y1,aflow:35e6777f90fd2bc6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ni1Sb1Y1_ICSD_105331,216,cF12,53.6111,87.6278
Ni1Sb1Yb1,aflow:fd22297be346932c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ni1Sb1Yb1_ICSD_105332,216,cF12,9.25518,61.525
Ni1Sb1Zn1,aflow:2b293d05bec63025,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ni1Sb1Zn1_ICSD_240198,216,cF12,34.2848,100.583
Ni1Sc1,aflow:227780372a14df17,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ni1Sc1_ICSD_105333,221,cP2,40.8639,103.967
Ni1Sc6Te2,aflow:e613bbb42012d1ca,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ni1Sc6Te2_ICSD_90082,189,hP9,33.001,72.7419
Ni1Si2,aflow:fa067fd045772391,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ni1Si2_ICSD_163352,225,cF12,34.0866,143.961
Ni1Si3Sr1,aflow:1c50674f256a3320,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ni1Si3Sr1_ICSD_174268,107,tI10,53.3681,88.1576
Ni1Sn1Th1,aflow:a97b18881d1a1d91,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ni1Sn1Th1_ICSD_105367,216,cF12,39.8447,95.9333
Ni1Sn1Ti1,aflow:7bed936e9d5a44ca,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ni1Sn1Ti1_ICSD_174568,216,cF12,60.9311,134.161
Ni1Sn1U1,aflow:d7541a64a6187dd2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ni1Sn1U1_ICSD_105372,216,cF12,21.8351,78.6611
Ni1Zn1,aflow:48827b3227344479,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ni1Zn1_ICSD_105469,123,tP2,58.1215,149.249
Ni1Zn1,aflow:c294c347661840e9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ni1Zn1_ICSD_105470,221,cP2,47.0343,143.239
Ni2O12Sb4,aflow:c882f6f3d9636611,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ni1O6Sb2_ICSD_80802,136,tP18,85.5386,171.393
Ni2O12Ta4,aflow:57f618875652a39b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ni1O6Ta2_ICSD_247807,136,tP18,83.4192,185.697
Ni2O2Zr6,aflow:24e8ff734a8002be,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ni1O1Zr3_ICSD_71964,63,oS20,65.2591,151.905
Ni2P2Ta8,aflow:d59c6ae99050de55,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ni1P1Ta4_ICSD_646156,124,tP12,104.144,214.116
Ni2P2Tb1,aflow:3e396b5753d5e0b2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ni2P2Tb1_ICSD_646159,139,tI10,87.017,150.231
Ni2P2Zr1,aflow:2ebb48057d683707,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ni2P2Zr1_ICSD_76679,139,tI10,46.6395,168.314
Ni2Rh4S8,aflow:78a368d0e257c7e1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ni1Rh2S4_ICSD_646317,227,cF56,31.5012,113.356
Ni2S2,aflow:e226cfd7bcb7f9e4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ni1S1_ICSD_151603,194,hP4,40.9196,101.44
Ni2S4,aflow:5acf588213d5c741,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ni1S2_ICSD_169570,58,oP6,49.0194,77.7458
Ni2S6Ta9,aflow:a0c9eb9d7c77c98d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ni2S6Ta9_ICSD_61416,189,hP17,56.0673,132.237
Ni2Sb1Ti1,aflow:2b0975334534357e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ni2Sb1Ti1_ICSD_76700,225,cF16,37.7807,155.417
Ni2Sb4,aflow:7d8d4f049a78fac6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ni1Sb2_ICSD_41728,58,oP6,35.5029,87.8893
Ni2Sc1Sn1,aflow:752c69d9417b7048,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ni2Sc1Sn1_ICSD_105339,225,cF16,49.8713,122.717
Ni2Sc2Si6,aflow:d0da76ce0d341dfc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ni1Sc1Si3_ICSD_41832,65,oS20,81.1834,120.816
